,Gm#,Date,Unnamed: 2,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
0,1,"Tuesday, Apr 5",boxscore,BOS,@,CLE,W,6,2,,1-0,1,Tied,Price,Kluber,,3:13,D,34493,+
1,2,"Wednesday, Apr 6",boxscore,BOS,@,CLE,L,6,7,,1-1,2,1.0,McAllister,Tazawa,Allen,3:29,N,10298,-
2,3,"Friday, Apr 8",boxscore,BOS,@,TOR,W,8,7,,2-1,2,1.5,Barnes,Storen,Kimbrel,3:24,N,48871,+
3,4,"Saturday, Apr 9",boxscore,BOS,@,TOR,W,8,4,,3-1,2,1.0,Porcello,Dickey,,2:48,D,47138,++
4,5,"Sunday, Apr 10",boxscore,BOS,@,TOR,L,0,3,,3-2,2,2.0,Estrada,Wright,Osuna,2:27,D,46158,-
5,6,"Monday, Apr 11",boxscore,BOS,,BAL,L,7,9,,3-3,3,3.0,Brach,Kimbrel,Britton,3:26,D,37160,--
6,7,"Tuesday, Apr 12",boxscore,BOS,,BAL,L,5,9,,3-4,3,4.0,Wright,Buchholz,,3:23,N,31114,---
7,8,"Wednesday, Apr 13",boxscore,BOS,,BAL,W,4,2,,4-4,3,3.0,Kelly,Jimenez,Kimbrel,3:13,N,31011,+
8,9,"Friday, Apr 15",boxscore,BOS,,TOR,W,5,3,,5-4,2,2.5,Porcello,Dickey,Kimbrel,3:02,N,31415,++
9,10,"Saturday, Apr 16",boxscore,BOS,,TOR,W,4,2,,6-4,2,1.5,Price,Estrada,Kimbrel,2:43,D,36267,+++
10,11,"Sunday, Apr 17",boxscore,BOS,,TOR,L,3,5,,6-5,2,2.0,Sanchez,Wright,,3:09,D,37217,-
11,12,"Monday, Apr 18",boxscore,BOS,,TOR,L,3,4,,6-6,2,2.5,Happ,Uehara,Storen,3:12,D,37168,--
12,13,"Tuesday, Apr 19",boxscore,BOS,,TBR,L,0,3,10,6-7,3,2.5,Ramirez,Barnes,Colome,3:25,N,32061,---
13,14,"Wednesday, Apr 20",boxscore,BOS,,TBR,W,7,3,,7-7,2,2.5,Porcello,Archer,,3:02,N,31689,+
14,15,"Thursday, Apr 21",boxscore,BOS,,TBR,L,8,12,,7-8,2,3.5,Ramirez,Cuevas,Colome,4:16,D,37954,-
15,16,"Friday, Apr 22",boxscore,BOS,@,HOU,W,6,2,,8-8,2,2.5,Wright,McHugh,Kimbrel,3:28,N,26672,+
16,17,"Saturday, Apr 23",boxscore,BOS,@,HOU,L,3,8,,8-9,2,3.5,Fiers,Buchholz,,3:28,D,40232,-
17,18,"Sunday, Apr 24",boxscore,BOS,@,HOU,W,7,5,12,9-9,2,2.5,Hembree,Giles,,5:03,N,32416,+
18,19,"Monday, Apr 25",boxscore,BOS,@,ATL,W,1,0,,10-9,2,1.5,Porcello,Teheran,Kimbrel,2:55,N,22735,++
19,20,"Tuesday, Apr 26",boxscore,BOS,@,ATL,W,11,4,,11-9,2,0.5,Price,Wisler,,2:52,N,23487,+++
20,21,"Wednesday, Apr 27",boxscore,BOS,,ATL,W,9,4,,12-9,2,0.5,Wright,Norris,,3:02,N,33380,++++
21,22,"Thursday, Apr 28",boxscore,BOS,,ATL,L,3,5,,12-10,2,1.5,Chacin,Buchholz,Vizcaino,3:22,N,32232,-
22,23,"Friday, Apr 29",boxscore,BOS,,NYY,W,4,2,,13-10,2,1.5,Uehara,Betances,Kimbrel,2:50,N,37115,+
23,24,"Saturday, Apr 30",boxscore,BOS,,NYY,W,8,0,,14-10,2,0.5,Porcello,Pineda,,3:30,N,37901,++
24,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
25,25,"Sunday, May 1",boxscore,BOS,,NYY,W,8,7,,15-10,1,up 0.5,Price,Nova,Kimbrel,3:17,N,34279,+++
26,26,"Tuesday, May 3",boxscore,BOS,@,CHW,L,1,4,,15-11,2,0.5,Quintana,Wright,Robertson,2:53,N,15025,-
27,27,"Wednesday, May 4",boxscore,BOS,@,CHW,W,5,2,,16-11,1,up 0.5,Buchholz,Rodon,Kimbrel,2:46,N,14383,+
28,28,"Thursday, May 5",boxscore,BOS,@,CHW,W,7,3,,17-11,1,up 0.5,Barnes,Johnson,,3:57,N,20126,++
29,29,"Friday, May 6",boxscore,BOS,@,NYY,L,2,3,,17-12,1,Tied,Yates,Porcello,Miller,3:10,N,45756,-
30,30,"Saturday, May 7",boxscore,BOS,@,NYY,L,2,8,,17-13,2,0.5,Eovaldi,Price,,3:09,D,47822,--
31,31,"Sunday, May 8",boxscore,BOS,@,NYY,W,5,1,,18-13,2,0.5,Wright,Severino,,2:27,N,41869,+
32,32,"Monday, May 9",boxscore,BOS,,OAK,W,14,7,,19-13,1,Tied,Buchholz,Gray,,3:46,N,35227,++
33,33,"Tuesday, May 10",boxscore,BOS,,OAK,W,13,5,,20-13,1,Tied,O'Sullivan,Manaea,,3:07,N,32167,+++
34,34,"Wednesday, May 11",boxscore,BOS,,OAK,W,13,3,,21-13,1,Tied,Porcello,Surkamp,,3:17,N,33283,++++
35,35,"Thursday, May 12",boxscore,BOS,,HOU,W,11,1,,22-13,1,Tied,Price,Keuchel,,2:56,N,34982,+++++
36,36,"Friday, May 13",boxscore,BOS,,HOU,L,6,7,,22-14,2,1.0,Feldman,Barnes,Gregerson,3:49,N,33148,-
37,37,"Saturday, May 14",boxscore,BOS,,HOU,W-wo,6,5,11,23-14,2,1.0,Uehara,Feliz,,4:13,D,37430,+
38,38,"Sunday, May 15",boxscore,BOS,,HOU,W,10,9,,24-14,1,Tied,Hembree,Feldman,Kimbrel,3:40,D,35736,++
39,39,"Tuesday, May 17",boxscore,BOS,@,KCR,L,4,8,,24-15,1,Tied,Ventura,Porcello,,2:54,N,25215,-
40,40,"Wednesday, May 18 (1)",boxscore,BOS,@,KCR,L,2,3,,24-16,2,0.5,Flynn,Wright,Davis,2:23,D,33613,--
41,41,"Wednesday, May 18 (2)",boxscore,BOS,@,KCR,W,5,2,,25-16,2,0.5,Price,Volquez,Kimbrel,3:06,N,23739,+
